2024-05-30 13:58:36,369 - logger.py - INFO - Logger initialized
2024-05-30 13:58:38,306 - main.py - INFO - Main function started
2024-05-30 13:58:39,964 - ugotcamera.py - INFO - camera opened
2024-05-30 13:58:40,011 - control_thread.py - INFO - Control thread started
2024-05-30 13:58:40,029 - ws_server.py - INFO - WebSocket server started
2024-05-30 13:58:40,030 - server.py - INFO - server listening on [::1]:8765
2024-05-30 13:58:40,030 - server.py - INFO - server listening on 127.0.0.1:8765
2024-05-30 13:58:41,813 - control_thread.py - INFO - Detected distance: 6.925054954170295, angle: 0.0
2024-05-30 13:58:42,208 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:42,406 - control_thread.py - INFO - Detected distance: 6.994001115774712, angle: 0.11634623458314212
2024-05-30 13:58:42,666 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:42,869 - control_thread.py - INFO - Detected distance: 6.925054954170295, angle: 0.0
2024-05-30 13:58:43,066 - control_thread.py - INFO - Detected distance: 7.02884560036592, angle: 0.17451933745482198
2024-05-30 13:58:43,245 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:43,387 - control_thread.py - INFO - Detected distance: 6.994001115774712, angle: 0.11634623458314212
2024-05-30 13:58:43,557 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:43,738 - server.py - INFO - connection open
2024-05-30 13:58:43,738 - ws_server.py - INFO - New WebSocket connection established
2024-05-30 13:58:43,793 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:44,008 - control_thread.py - INFO - Detected distance: 6.925054954170295, angle: 0.0
2024-05-30 13:58:44,211 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:44,412 - control_thread.py - INFO - Detected distance: 6.994001115774712, angle: 0.11634623458314212
2024-05-30 13:58:44,658 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:44,792 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:44,985 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:45,202 - control_thread.py - INFO - Detected distance: 7.02884560036592, angle: 0.17451933745482198
2024-05-30 13:58:45,336 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:45,533 - control_thread.py - INFO - Detected distance: 6.925054954170295, angle: 0.0
2024-05-30 13:58:45,677 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:45,879 - control_thread.py - INFO - Detected distance: 6.925054954170295, angle: 0.0
2024-05-30 13:58:46,078 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:46,269 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:46,469 - control_thread.py - INFO - Detected distance: 6.925054954170295, angle: 0.0
2024-05-30 13:58:46,585 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:46,857 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:47,052 - control_thread.py - INFO - Detected distance: 6.8570817658726355, angle: -0.11634623458314212
2024-05-30 13:58:47,247 - control_thread.py - INFO - Detected distance: 6.925054954170295, angle: 0.0
2024-05-30 13:58:47,363 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:47,502 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:47,699 - control_thread.py - INFO - Detected distance: 6.925054954170295, angle: 0.0
2024-05-30 13:58:47,938 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:48,061 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:48,192 - control_thread.py - INFO - Detected distance: 6.994001115774712, angle: 0.11634623458314212
2024-05-30 13:58:48,388 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:48,592 - control_thread.py - INFO - Detected distance: 6.959405114857243, angle: 0.05817312017554997
2024-05-30 13:58:48,771 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:48,946 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
2024-05-30 13:58:49,127 - control_thread.py - INFO - Detected distance: 6.890948027633714, angle: -0.05817312017554997
